product_id,product_name,category,sub_category,base_annual_premium_usd,max_coverage_usd,min_entry_age,max_entry_age,policy_term_years,launch_date,is_active,region_availability
PROD-001,AIA Life Premium Cover,Life,Life - Tier 1,3377.42,184972.55,18,65,5,2017-06-14,True,"Taiwan,Malaysia,Vietnam"
PROD-002,AIA Life Elite Protect,Life,Life - Tier 2,1491.98,97473.54,18,65,20,2016-02-01,True,"Mainland China,Indonesia,Hong Kong,Philippines,Malaysia,Taiwan,South Korea,Singapore"
PROD-003,AIA Health Premium Protect,Health,Health - Tier 1,1091.58,215896.49,18,75,1,2017-08-11,True,"Indonesia,South Korea,Philippines,Singapore,Thailand,Taiwan,Vietnam,Mainland China,Malaysia"
PROD-004,AIA Health Elite Shield,Health,Health - Tier 2,2145.58,327613.0,18,75,1,2023-08-14,True,"Hong Kong,Philippines,Vietnam,Thailand,Mainland China,Singapore"
PROD-005,AIA Motor Premium Shield,Motor,Motor - Tier 1,1133.29,98589.45,18,75,1,2021-04-18,True,"Mainland China,Vietnam,Philippines,Singapore,Taiwan,Indonesia,Malaysia,Hong Kong,Thailand"
PROD-006,AIA Motor Elite Protect,Motor,Motor - Tier 2,407.98,79825.42,18,75,1,2015-02-17,True,"Philippines,Singapore,Indonesia,Malaysia,Taiwan,Vietnam,Hong Kong"
PROD-007,AIA Property Premium Shield,Property,Property - Tier 1,1200.94,87579.46,18,75,1,2023-07-21,True,"Mainland China,Philippines,South Korea"
PROD-008,AIA Property Elite Plan,Property,Property - Tier 2,1730.66,276536.25,18,75,1,2015-10-11,True,"South Korea,Taiwan,Thailand,Mainland China,Indonesia"
PROD-009,AIA Travel Premium Protect,Travel,Travel - Tier 1,378.47,43794.54,0,75,1,2020-10-20,False,"Malaysia,Mainland China,Singapore,Thailand"
PROD-010,AIA Travel Elite Protect,Travel,Travel - Tier 2,368.53,22343.36,0,75,1,2017-09-01,True,"Malaysia,Taiwan,Thailand,Philippines,Indonesia,Vietnam,Mainland China,Hong Kong,Singapore,South Korea"
PROD-011,AIA Investment-Linked Premium Plan,Investment-Linked,Investment-Linked - Tier 1,7561.68,446834.2,18,75,30,2018-10-21,True,"Malaysia,Mainland China,South Korea,Singapore,Taiwan,Vietnam"
PROD-012,AIA Investment-Linked Elite Plan,Investment-Linked,Investment-Linked - Tier 2,5952.93,1162901.11,18,75,10,2016-11-12,False,"South Korea,Malaysia,Vietnam,Hong Kong,Singapore,Taiwan,Mainland China,Philippines,Thailand,Indonesia"
PROD-013,AIA Critical Illness Premium Plan,Critical Illness,Critical Illness - Tier 1,1083.63,148324.39,18,65,1,2021-01-29,True,"Hong Kong,Mainland China,South Korea,Indonesia,Vietnam,Singapore,Taiwan,Thailand"
PROD-014,AIA Critical Illness Elite Plan,Critical Illness,Critical Illness - Tier 2,3605.03,515185.46,18,65,1,2019-09-14,True,"Malaysia,Philippines,Mainland China,Thailand,South Korea,Singapore,Vietnam"
PROD-015,AIA Accident Premium Protect,Accident,Accident - Tier 1,476.34,33281.44,18,75,1,2018-11-30,True,"Philippines,Indonesia,Thailand,Malaysia,Taiwan,South Korea"
PROD-016,AIA Accident Elite Shield,Accident,Accident - Tier 2,757.25,67902.61,18,75,1,2016-03-14,True,"Indonesia,Malaysia,Philippines,Singapore,South Korea,Thailand,Taiwan"
